"","VAR001","type","citation","agency","race","sex","daynight","day","descript","mph","zone","mphover","mphpct","age","ticket","minority","female"
"1",NA,"W","K0159501","Boylston","W","M","day",1,"SPEEDING",52,35,17,49,26,0,0,0
"2",NA,"W","K0159502","Boylston","W","M","day",1,"SPEEDING",47,35,12,34,41,0,0,0
"3",NA,"W","K0159503","Boylston","W","F","day",1,"SPEEDING",49,35,14,40,50,0,0,1
"4",NA,"T","K0159504","Boylston","W","M","day",1,"SPEEDING",54,40,14,35,32,1,0,0
"5",NA,"W","K0159505","Boylston","W","M","day",1,"SPEEDING",57,45,12,27,48,0,0,0
"6",NA,"W","K0159506","Boylston","W","F","day",1,"SPEEDING",62,45,17,38,30,0,0,1
"7",NA,"W","K0159507","Boylston","W","M","day",1,"SPEEDING",53,35,18,51,30,0,0,0
"8",NA,"W","K0159510","Boylston","W","M","day",1,"SPEEDING",54,35,19,54,41,0,0,0
"9",NA,"W","K0159511","Boylston","W","F","day",1,"SPEEDING",57,45,12,27,60,0,0,1
"10",NA,"W","K0159512","Boylston","W","F","day",1,"SPEEDING",62,45,17,38,45,0,0,1
"11",NA,"W","K0159513","Boylston","W","F","day",1,"SPEEDING",63,45,18,40,54,0,0,1
"12",NA,"W","K0159515","Boylston","W","F","day",1,"SPEEDING",48,35,13,37,62,0,0,1
"13",NA,"W","K0159518","Boylston","W","M","day",1,"SPEEDING",49,35,14,40,57,0,0,0
"14",NA,"W","K0159519","Boylston","H","F","day",1,"SPEEDING",48,35,13,37,34,0,1,1
"15",NA,"W","K0159520","Boylston","W","M","day",1,"SPEEDING",56,40,16,40,35,0,0,0
"16",NA,"T","K0159521","Boylston","A","M","day",1,"SPEEDING",51,35,16,46,32,1,1,0
"17",NA,"W","K0159522","Boylston","W","F","day",1,"SPEEDING",50,35,15,43,74,0,0,1
"18",NA,"T","K0159523","Boylston","W","M","day",1,"SPEEDING",55,35,20,57,42,1,0,0
"19",NA,"T","K0159525","Boylston","A","M","day",1,"SPEEDING",50,35,15,43,61,1,1,0
"20",NA,"T","K0159545","Boylston","W","M","night",0,"SPEEDING",51,35,16,46,28,1,0,0
"21",NA,"W","K0159546","Boylston","W","F","night",0,"SPEEDING",49,35,14,40,25,0,0,1
"22",NA,"W","K0159547","Boylston","W","M","night",0,"SPEEDING",49,35,14,40,25,0,0,0
"23",NA,"T","K0159548","Boylston","M","F","night",0,"SPEEDING",53,35,18,51,22,1,1,1
"24",NA,"T","K0159551","Boylston","W","F","day",1,"SPEEDING",50,35,15,43,23,1,0,1
"25",NA,"T","K0159553","Boylston","H","F","night",0,"SPEEDING",50,35,15,43,19,1,1,1
"26",NA,"T","K0159554","Boylston","W","F","night",0,"SPEEDING",52,35,17,49,18,1,0,1
